Item Branch G/L Category,Item-Branch Key,Item Branch Reorder Quantity,Short Name
175,TFAB,CR-10992,0,10992
176,THUB,CR-10854,0,10854
177,THUB,CR-10854,0,10854
178,SRCW,CR-10076,200000,10076
179,SRCW,CR-10076,200000,10076
180,ACCE,CR-10395,0,10395
181,ACCE,CR-10395,0,10395
182,SRCW,CR-10970,0,10970
183,SRCW,CR-10970,0,10970
184,TFAB,CR-10020,0,10020
185,TFAB,CR-10020,0,10020
186,TFAB,CR-10278,0,10278
187,TFAB,CR-10278,0,10278
188,SMWN,CR-10537,0,10537
189,SMWN,CR-10537,0,10537
190,TFAB,CR-10705,0,10705
191,TFAB,CR-10705,0,10705
192,ATVW,CR-10786,0,10786
193,ATVW,CR-10786,0,10786
194,SRCW,CR-10002,0,10002
195,SRCW,CR-10002,0,10002
196,TFAB,CR-10301,0,10301
197,TFAB,CR-10301,0,10301
198,THUB,CR-10855,0,10855
199,THUB,CR-10855,0,10855
200,SRCW,CR-10077,200000,10077
201,SRCW,CR-10077,200000,10077
202,ATVW,CR-10315,0,10315
203,ATVW,CR-10315,0,10315
204,ACCE,CR-10879,0,10879
205,ACCE,CR-10879,0,10879
206,SRCW,CR-10971,0,10971
207,SRCW,CR-10971,0,10971
208,ATVW,CR-10787,0,10787
209,ATVW,CR-10787,0,10787
210,AFAB,CR-10993,0,10993
211,AFAB,CR-10993,0,10993
212,SHUB,PC-10005,0,10005
213,SHUB,PC-10005,0,10005
214,THUB,CR-10856,0,10856
215,THUB,CR-10856,0,10856
216,ACCE,CR-10915,0,10915
217,ACCE,CR-10915,0,10915
218,UTIW,CR-10316,0,10316
219,UTIW,CR-10316,0,10316
220,SRCW,CR-10820,0,10820
221,SRCW,CR-10820,0,10820
222,ACCE,CR-10880,0,10880
223,ACCE,CR-10880,0,10880
224,AFAB,CR-10232,0,10232
225,AFAB,CR-10232,0,10232
226,TFAB,CR-10279,0,10279
227,TFAB,CR-10279,0,10279
228,SHUB,PC-10006,0,10006
229,SHUB,PC-10006,0,10006
230,TFAB,CR-10224,0,10224
231,TFAB,CR-10224,0,10224
232,TFAB,CR-10302,0,10302
233,TFAB,CR-10302,0,10302
234,TMTG,CR-10627,0,10627
235,TMTG,CR-10627,0,10627
236,ACCE,CR-10916,0,10916
237,ACCE,CR-10916,0,10916
238,TMTG,CR-10181,0,10181
239,TMTG,CR-10181,0,10181
240,SRCW,CR-10280,0,10280
241,SRCW,CR-10280,0,10280
242,SRCW,CR-10348,0,10348
243,SRCW,CR-10348,0,10348
244,TFAB,CR-10484,0,10484
245,TFAB,CR-10484,0,10484
246,ATVW,CR-10594,0,10594
247,ATVW,CR-10594,0,10594
248,ATVW,CR-10706,0,10706
249,ATVW,CR-10706,0,10706
250,SHUB,PC-10007,0,10007
251,SHUB,PC-10007,0,10007
252,TFAB,CR-10628,0,10628
253,TFAB,CR-10628,0,10628
254,ACCE,CR-10917,0,10917
255,ACCE,CR-10917,0,10917
256,SRCW,CR-10078,0,10078
257,SRCW,CR-10078,0,10078
258,AXLE,CR-10881,0,10881
259,AXLE,CR-10881,0,10881
260,AFAB,CR-10972,0,10972
261,AFAB,CR-10972,0,10972
262,TFAB,CR-10485,0,10485
263,TFAB,CR-10485,0,10485
264,AFAB,CR-10707,0,10707
265,AFAB,CR-10707,0,10707
266,AFAB,CR-10994,0,10994
267,AFAB,CR-10994,0,10994
268,AXLE,CR-10003,34000000,10003
269,AXLE,CR-10003,34000000,10003
270,TFAB,CR-10089,0,10089
271,TFAB,CR-10089,0,10089
272,ACCE,CR-10554,0,10554
273,ACCE,CR-10554,0,10554
274,THUB,CR-10857,0,10857
275,THUB,CR-10857,0,10857
276,TFAB,CR-10031,0,10031
277,TFAB,CR-10031,0,10031
278,ACCE,CR-10396,0,10396
279,ACCE,CR-10396,0,10396
280,AXLE,CR-10882,0,10882
281,AXLE,CR-10882,0,10882
282,AFAB,CR-10973,0,10973
283,AFAB,CR-10973,0,10973
284,SRCW,CR-10349,0,10349
285,SRCW,CR-10349,0,10349
286,SHUB,PC-10008,0,10008
287,SHUB,PC-10008,0,10008
288,SMWN,CR-10004,0,10004
289,SMWN,CR-10004,0,10004
290,SRCW,CR-10303,0,10303
291,SRCW,CR-10303,0,10303
